,PolicyNumber,Month,WeekOfMonth,DayOfWeek,AccidentArea,MonthClaimed,WeekOfMonthClaimed,DayOfWeekClaimed,Sex,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,UnusualDeductible,ClaimsPerAgent,MaritalStatus,PriceToAgeRatio,PriceToAgeRatio_Capped,HighRiskVehicleFlag,ClaimAmountRisk,DaysBetween,ClaimProcessingTime
10,11,3,2,7,1,3,3,3,1,71,0,13,1,5,0,7,400,3,4,4,0,7,70,0,0,0,0,0,1,1994,3,0,15179,0,0.5596157879354227,0.5596157879354227,0,15,1,368
11,12,3,5,1,1,3,5,1,1,52,0,12,2,1,0,13,400,1,4,4,2,7,45,0,0,0,0,0,1,1994,2,0,15179,1,0.22314355131420976,0.22314355131420976,0,1,1,365
12,13,1,3,5,1,1,3,5,1,28,0,12,2,5,0,11,400,1,4,4,1,6,33,0,0,0,0,0,1,1994,2,0,15179,1,0.6190392084062234,0.6190392084062234,0,5,1,365
13,14,1,5,5,0,2,1,3,1,19,1,11,1,5,0,12,400,3,4,4,0,0,16,0,0,0,0,0,1,1994,1,0,15179,0,1.9459101490553132,0.6931471805599453,0,15,1,365
14,15,1,5,1,1,2,1,4,1,61,0,12,2,5,0,3,400,1,4,4,0,7,58,0,0,0,0,0,1,1994,2,0,15179,1,0.5596157879354227,0.5596157879354227,0,5,1,370
15,16,8,4,2,1,8,5,1,1,38,0,12,2,5,0,16,400,1,4,4,0,5,38,0,0,0,0,0,1,1994,2,0,15179,0,0.6931471805599453,0.6931471805599453,0,5,1,371
16,17,4,4,4,1,5,1,3,1,41,0,13,1,5,0,15,400,4,4,4,0,6,38,0,0,0,0,0,1,1994,3,0,15179,1,0.6190392084062234,0.6190392084062234,0,20,1,373
17,18,7,5,7,1,8,1,3,0,28,1,11,1,1,0,6,400,1,4,4,0,6,33,0,0,0,1,0,1,1994,1,0,15179,1,0.2513144282809061,0.2513144282809061,0,1,1,363
18,19,5,4,4,1,5,5,1,1,32,0,12,2,1,0,6,400,1,4,4,1,6,33,0,0,0,0,0,1,1994,2,0,15179,0,0.2513144282809061,0.2513144282809061,0,1,1,369
19,20,4,4,1,1,5,1,2,1,30,1,12,2,5,0,2,400,2,4,4,2,5,33,0,0,0,5,0,1,1994,2,0,15179,1,0.6931471805599453,0.6931471805599453,0,10,1,375
20,21,4,2,5,1,5,1,2,1,40,0,12,2,1,0,3,400,1,4,4,1,7,38,0,0,0,5,0,1,1994,2,0,15179,1,0.22314355131420976,0.22314355131420976,0,1,1,385
21,22,1,2,6,1,1,2,1,1,47,0,11,1,1,0,13,400,2,4,4,1,7,45,0,0,0,0,4,2,1994,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,2,1,360
22,23,8,3,7,1,8,5,4,1,63,0,12,2,1,0,8,400,3,4,4,1,7,58,0,0,0,1,0,1,1994,2,0,15179,1,0.22314355131420976,0.22314355131420976,0,3,1,376
23,24,6,3,6,1,6,3,2,1,31,1,12,2,2,0,5,400,3,4,4,0,5,33,0,0,0,3,0,1,1994,2,0,15179,0,0.4054651081081644,0.4054651081081644,0,6,1,361
24,25,9,3,5,1,9,3,5,1,45,0,13,1,5,0,12,400,3,4,4,3,7,38,1,0,0,0,0,1,1994,3,0,15179,1,0.5596157879354227,0.5596157879354227,0,15,1,365
25,26,3,3,1,1,4,1,2,1,60,0,12,2,1,0,16,400,4,4,4,3,7,58,0,0,0,0,0,1,1994,2,0,15179,1,0.22314355131420976,0.22314355131420976,0,4,1,382
26,27,3,3,4,1,6,4,4,1,21,0,11,1,2,0,1,400,2,4,4,3,4,28,0,0,0,5,0,1,1994,1,0,15179,1,0.4700036292457356,0.4700036292457356,0,4,1,462
27,28,5,3,7,1,5,4,5,1,42,0,13,1,2,0,1,400,3,4,4,2,6,38,0,0,0,1,0,1,1994,3,0,15179,1,0.35667494393873234,0.35667494393873234,0,6,1,370
28,29,7,1,6,1,9,4,2,1,19,0,13,1,5,1,9,400,1,4,4,0,0,16,0,0,0,0,0,1,1994,3,0,15179,0,1.9459101490553132,0.6931471805599453,0,5,1,442
29,30,5,3,1,1,5,4,3,0,39,0,11,1,1,0,12,400,3,4,4,0,6,38,0,0,0,0,0,1,1994,1,0,15179,1,0.2513144282809061,0.2513144282809061,0,3,1,374
30,31,3,2,5,1,3,2,6,1,47,0,11,1,2,0,2,400,1,4,4,2,7,45,0,0,1,0,0,1,1994,1,0,241,1,0.3184537311185346,0.3184537311185346,0,2,1,366
31,32,3,1,7,1,3,2,2,1,18,0,11,1,5,0,6,400,1,4,4,1,0,16,0,0,0,0,0,1,1994,1,0,15179,0,1.9459101490553132,0.6931471805599453,0,5,1,367
32,33,3,2,3,1,3,2,3,1,42,0,11,1,1,0,2,400,3,4,4,3,6,38,0,0,0,3,0,1,1994,1,0,15179,0,0.2513144282809061,0.2513144282809061,0,3,1,365
33,34,1,4,1,1,1,4,2,1,30,1,11,1,1,0,2,400,4,4,4,0,5,33,0,0,0,1,0,1,1994,1,0,15179,0,0.2876820724517809,0.2876820724517809,0,4,1,366
34,35,1,4,2,1,1,4,3,1,42,0,33,3,5,0,12,400,1,4,4,2,6,38,0,0,0,0,0,1,1994,3,0,15179,1,0.6190392084062234,0.6190392084062234,0,5,1,366
35,36,10,2,3,1,10,2,4,1,34,1,12,2,1,0,5,400,3,4,4,2,6,33,0,0,0,5,0,1,1994,2,0,15179,0,0.2513144282809061,0.2513144282809061,0,3,1,366
36,37,10,2,2,1,10,3,4,1,30,1,11,1,1,0,11,400,4,4,4,0,5,33,0,0,0,5,0,1,1994,1,0,15179,1,0.2876820724517809,0.2876820724517809,0,4,1,374
37,38,9,2,5,1,9,3,5,1,27,0,11,1,2,0,4,400,2,4,4,0,6,33,0,0,0,5,0,1,1994,1,0,15179,0,0.35667494393873234,0.35667494393873234,0,4,1,372
38,39,11,4,2,1,11,4,4,1,55,0,21,2,5,0,12,400,1,4,4,0,7,45,0,0,0,0,0,1,1994,1,0,15179,1,0.5596157879354227,0.5596157879354227,0,5,1,367
39,40,11,4,4,1,1,1,2,1,35,0,11,1,1,0,1,400,3,4,4,0,6,33,0,0,0,1,0,1,1994,1,0,15179,1,0.2513144282809061,0.2513144282809061,0,3,1,42
40,41,3,4,3,1,4,1,3,0,35,0,11,1,1,0,11,400,1,4,4,2,5,33,0,0,0,5,0,1,1994,1,0,15179,1,0.2876820724517809,0.2876820724517809,0,1,1,374
41,42,3,3,5,1,3,4,3,1,44,0,13,1,1,0,15,400,1,4,4,2,6,38,0,0,0,3,0,3,1994,3,0,15179,1,0.2513144282809061,0.2513144282809061,0,1,1,370
42,43,7,1,1,1,7,1,1,0,42,0,12,2,1,0,12,400,4,4,4,0,3,38,0,0,0,0,4,2,1994,2,0,15179,0,0.4054651081081644,0.4054651081081644,0,4,1,365
43,44,1,3,2,1,1,4,1,1,41,0,11,1,1,0,5,400,2,4,4,2,6,38,0,0,0,1,0,1,1994,1,0,15179,1,0.2513144282809061,0.2513144282809061,0,2,1,371
44,45,1,3,3,1,1,4,3,1,72,1,11,1,1,0,16,400,1,4,4,0,7,70,0,0,0,0,0,1,1994,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,1,1,372
45,46,2,2,3,1,2,2,4,0,29,1,13,1,0,0,8,400,3,4,4,2,4,33,0,0,0,0,0,1,1994,3,0,15179,1,0.18232155679395465,0.18232155679395465,0,0,1,366
46,47,2,2,4,1,2,3,1,1,32,1,11,1,2,0,9,400,4,4,4,0,5,33,0,0,1,0,0,1,1994,1,0,241,0,0.4054651081081644,0.4054651081081644,0,8,1,369
47,48,11,4,4,1,11,4,5,1,37,0,12,2,2,0,13,400,3,4,4,2,4,38,0,0,0,5,0,1,1994,2,0,15179,1,0.4700036292457356,0.4700036292457356,0,6,1,366
48,49,4,3,4,1,5,1,4,0,37,0,12,2,5,0,10,400,1,4,4,2,5,38,0,0,0,3,0,1,1994,2,0,15179,1,0.6931471805599453,0.6931471805599453,0,5,1,381
49,50,4,3,5,1,4,3,2,1,59,0,11,1,1,0,9,400,4,4,4,3,7,58,0,0,0,3,0,1,1994,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,4,1,362
50,51,5,4,5,1,5,4,5,1,49,0,12,2,2,0,14,400,2,4,4,3,7,45,0,0,0,0,0,1,1994,2,0,15179,1,0.3184537311185346,0.3184537311185346,0,4,1,365
51,52,6,4,3,1,6,4,5,1,27,0,12,2,1,0,4,500,3,4,4,2,5,33,0,0,0,3,3,1,1994,2,1,15179,1,0.2876820724517809,0.2876820724517809,0,3,1,367
52,53,7,3,7,0,1,4,3,1,21,0,21,2,5,1,4,400,4,4,4,0,3,28,0,0,0,3,0,1,1994,1,0,15179,1,0.9162907318741551,0.6931471805599453,0,20,1,188
53,54,7,4,6,1,8,2,3,1,50,0,11,1,1,1,13,400,1,4,4,0,7,45,0,0,0,3,0,1,1994,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,1,1,378
54,55,6,4,2,1,6,4,2,1,45,0,11,1,2,0,8,400,1,4,4,1,6,38,0,0,0,1,0,1,1994,1,0,15179,0,0.35667494393873234,0.35667494393873234,0,2,1,365
55,56,12,3,1,1,12,3,3,1,49,1,13,1,1,0,7,400,4,4,4,0,7,45,0,0,0,3,0,1,1994,3,0,15179,1,0.22314355131420976,0.22314355131420976,0,4,1,367
56,57,6,4,5,1,6,5,4,1,30,0,13,1,1,0,5,400,4,4,4,2,5,33,0,0,0,0,0,1,1994,3,0,15179,0,0.2876820724517809,0.2876820724517809,0,4,1,371
57,58,11,2,5,1,11,2,1,1,37,0,11,1,5,0,11,400,3,4,4,2,6,38,0,0,0,0,0,1,1994,1,0,15179,0,0.6190392084062234,0.6190392084062234,0,15,1,361
58,59,5,1,1,0,5,4,3,1,19,0,12,2,5,0,15,400,4,4,4,0,0,16,0,0,0,0,0,1,1994,2,0,15179,0,1.9459101490553132,0.6931471805599453,0,20,1,388
59,60,5,1,3,1,5,2,1,0,27,0,11,1,1,0,4,400,4,4,4,0,5,33,0,0,0,1,0,1,1994,1,0,15179,0,0.2876820724517809,0.2876820724517809,0,4,1,370
60,61,11,1,1,1,11,3,1,1,30,0,13,1,2,0,5,400,4,4,4,0,4,33,0,0,0,0,0,1,1994,3,0,15179,0,0.4700036292457356,0.4700036292457356,0,8,1,379
61,62,9,2,2,1,1,4,5,1,49,0,31,3,3,0,6,400,4,4,4,0,7,45,0,0,0,0,0,1,1994,1,0,15179,1,0.4054651081081644,0.4054651081081644,0,12,1,142
62,63,11,4,7,1,1,3,5,1,19,1,13,1,5,0,3,400,2,4,4,2,0,16,0,0,0,0,0,1,1994,3,0,15179,0,1.9459101490553132,0.6931471805599453,1,10,1,56
63,64,2,5,1,1,3,1,2,1,26,0,12,2,1,0,13,400,3,4,4,2,6,33,0,0,0,5,4,2,1994,2,0,15179,1,0.2513144282809061,0.2513144282809061,0,3,1,368
64,65,12,1,5,1,12,2,2,1,48,0,11,1,1,0,1,400,1,4,4,0,6,45,0,0,0,0,0,1,1994,1,0,15179,0,0.2513144282809061,0.2513144282809061,0,1,1,369
65,66,12,4,5,1,1,2,1,1,31,0,13,1,1,0,6,400,3,4,4,0,6,33,0,0,0,0,0,1,1994,3,0,15179,0,0.2513144282809061,0.2513144282809061,0,3,1,17
66,67,3,3,5,1,3,3,5,1,40,1,11,1,5,0,16,400,2,4,4,1,6,38,0,0,0,5,0,1,1994,1,0,15179,0,0.6190392084062234,0.6190392084062234,0,10,1,365
67,68,8,4,4,1,8,5,1,1,65,0,12,2,2,0,12,400,1,4,4,2,7,58,0,0,0,5,0,1,1994,2,0,15179,1,0.3184537311185346,0.3184537311185346,0,2,1,369
68,69,1,1,7,1,1,1,2,1,64,0,11,1,1,0,5,400,1,4,4,1,7,58,0,0,0,0,0,1,1994,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,1,1,360
69,70,1,1,7,1,1,1,3,1,55,0,12,2,1,0,12,400,2,4,4,2,6,45,0,0,0,5,0,1,1994,2,0,15179,1,0.2513144282809061,0.2513144282809061,0,2,1,361
70,71,1,1,7,1,1,1,3,1,44,0,11,1,1,0,16,400,1,4,4,2,6,38,0,0,0,3,0,1,1994,1,0,15179,0,0.2513144282809061,0.2513144282809061,0,1,1,361
71,72,1,1,2,1,1,1,4,1,27,0,11,1,1,0,9,400,3,4,4,1,5,33,0,0,0,1,0,1,1994,1,0,15179,1,0.2876820724517809,0.2876820724517809,0,3,1,367
72,73,9,4,4,1,1,5,1,0,28,1,11,1,1,0,5,400,3,3,4,1,4,33,0,0,0,0,0,1,1994,1,0,15179,0,0.33647223662121295,0.33647223662121295,0,3,2,129
73,74,1,1,1,1,1,1,2,1,47,1,11,1,1,0,7,400,2,4,4,1,7,45,0,0,0,5,0,1,1994,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,2,1,366
74,75,4,5,6,1,5,1,2,1,60,1,11,1,5,0,12,400,3,4,4,3,6,58,0,0,0,5,0,1,1994,1,0,15179,1,0.6190392084062234,0.6190392084062234,0,15,1,363
75,76,8,1,6,1,8,4,3,1,33,1,11,1,2,0,9,400,4,4,4,3,5,33,0,0,0,0,0,1,1994,1,0,15179,1,0.4054651081081644,0.4054651081081644,0,8,1,383
76,77,10,4,2,1,1,1,1,1,27,1,13,1,1,0,1,400,3,4,4,0,5,33,0,0,0,0,0,1,1994,3,0,15179,1,0.2876820724517809,0.2876820724517809,0,3,1,73
77,78,2,2,5,1,2,3,2,0,47,1,21,2,5,0,12,400,3,4,4,0,7,45,0,0,0,0,0,1,1994,1,0,15179,1,0.5596157879354227,0.5596157879354227,0,15,1,369
78,79,2,2,5,0,2,3,2,0,29,0,12,2,2,0,16,400,1,4,4,2,4,33,0,0,0,3,0,1,1994,2,0,15179,0,0.4700036292457356,0.4700036292457356,0,2,1,369
79,80,2,4,6,1,3,1,5,0,33,1,11,1,2,0,10,400,1,4,4,2,6,33,0,0,0,5,0,1,1994,1,0,15179,1,0.35667494393873234,0.35667494393873234,0,2,1,373
80,81,1,3,3,1,1,3,3,1,38,0,12,2,1,0,13,400,4,4,4,2,5,38,0,0,0,0,0,1,1994,2,0,15179,1,0.2876820724517809,0.2876820724517809,0,4,1,365
81,82,1,3,4,1,1,4,5,1,37,1,12,2,1,0,6,400,2,4,4,1,6,38,0,0,0,0,0,1,1994,2,0,15179,0,0.2513144282809061,0.2513144282809061,0,2,1,373
82,83,12,2,5,1,4,3,4,1,36,1,13,1,5,0,13,400,4,4,4,0,6,38,0,0,0,0,0,3,1994,3,0,15179,1,0.6190392084062234,0.6190392084062234,0,20,1,131
83,84,11,5,2,1,2,1,5,0,44,0,12,2,1,0,9,400,4,4,4,0,5,38,0,0,0,1,0,1,1994,2,0,15179,1,0.2876820724517809,0.2876820724517809,0,4,1,70
84,85,12,1,3,1,1,1,1,1,18,0,12,2,5,0,6,400,2,4,4,3,0,16,0,0,0,0,4,2,1994,2,0,15179,0,1.9459101490553132,0.6931471805599453,1,10,1,33
85,86,12,2,2,0,3,1,2,1,27,0,32,3,5,0,4,400,4,4,4,1,5,33,0,0,0,5,0,1,1994,2,0,15179,1,0.6931471805599453,0.6931471805599453,0,20,1,88
86,87,5,4,2,1,5,4,3,1,27,0,11,1,1,0,14,400,3,4,4,1,5,33,0,0,0,5,0,1,1994,1,0,15179,0,0.2876820724517809,0.2876820724517809,0,3,1,366
87,88,5,4,7,1,5,4,3,1,39,1,13,1,1,0,1,400,2,4,4,2,3,38,0,0,0,5,0,1,1994,3,0,15179,0,0.4054651081081644,0.4054651081081644,0,2,1,361
88,89,10,5,6,1,10,5,1,1,74,1,13,1,2,0,13,400,4,4,4,0,6,70,0,0,0,3,0,1,1994,3,0,15179,1,0.35667494393873234,0.35667494393873234,0,8,1,360
89,90,10,4,7,1,10,4,1,1,23,0,12,2,1,0,8,400,2,4,4,2,3,28,0,0,0,0,0,1,1994,2,0,15179,0,0.4054651081081644,0.4054651081081644,0,2,1,359
90,91,10,4,7,1,10,4,2,0,25,1,21,2,5,0,2,400,1,4,4,0,5,28,0,0,0,5,0,1,1994,1,0,15179,0,0.6931471805599453,0.6931471805599453,0,5,1,360
91,92,1,2,3,1,1,2,3,1,38,0,12,2,1,0,13,400,2,4,4,3,6,38,0,0,0,3,2,1,1994,2,0,15179,0,0.2513144282809061,0.2513144282809061,0,2,1,365
92,93,1,2,4,1,1,4,1,1,41,0,13,1,2,0,16,400,1,4,4,2,6,38,0,0,0,0,0,1,1994,3,0,15179,1,0.35667494393873234,0.35667494393873234,0,2,1,376
93,94,8,4,6,1,8,5,1,1,38,0,11,1,1,0,13,700,3,4,4,2,6,38,0,0,0,5,0,1,1994,1,1,15179,1,0.2513144282809061,0.2513144282809061,0,3,1,367
94,95,11,2,4,1,1,3,5,1,34,0,21,2,5,1,7,400,3,4,4,0,6,33,0,0,0,3,0,1,1994,1,0,15179,0,0.6190392084062234,0.6190392084062234,0,15,1,73
95,96,5,2,2,1,5,2,4,1,61,1,11,1,2,0,15,400,4,4,4,0,7,58,0,0,0,5,0,1,1994,1,0,15179,1,0.3184537311185346,0.3184537311185346,0,8,1,367
96,97,11,2,5,1,1,1,2,1,38,0,11,1,1,1,7,400,2,4,4,1,6,38,0,0,0,0,0,1,1994,1,0,15179,1,0.2513144282809061,0.2513144282809061,0,2,1,55
97,98,1,3,4,1,1,4,1,1,40,0,13,1,0,0,4,400,4,4,4,1,6,38,0,0,0,0,0,1,1994,3,0,15179,0,0.13353139262452263,0.13353139262452263,0,0,1,369
98,99,11,3,1,1,1,4,3,1,41,1,13,1,1,0,12,400,4,4,4,2,6,38,0,0,0,0,0,1,1994,3,0,15179,1,0.2513144282809061,0.2513144282809061,0,4,1,74
99,100,1,4,5,1,1,5,1,1,36,0,13,1,1,0,10,400,1,4,4,1,6,38,0,0,0,0,0,1,1994,3,0,15179,1,0.2513144282809061,0.2513144282809061,0,1,1,368
100,101,11,3,2,1,1,2,3,1,31,0,33,3,5,1,2,400,1,4,4,3,6,33,0,0,0,5,0,1,1994,3,0,15179,1,0.6190392084062234,0.6190392084062234,0,5,1,59
101,102,1,5,6,1,1,5,1,0,35,1,13,1,1,0,10,400,4,4,4,1,5,33,0,0,0,0,0,1,1994,3,0,15179,1,0.2876820724517809,0.2876820724517809,0,4,1,360
102,103,1,4,5,1,2,1,1,0,37,0,13,1,5,0,14,500,2,4,4,2,5,38,1,0,0,3,0,1,1994,3,1,15179,1,0.6931471805599453,0.6931471805599453,0,10,1,370
103,104,1,1,4,1,1,2,2,1,55,0,13,1,1,0,14,400,3,4,4,0,7,45,0,0,0,5,0,1,1994,3,0,15179,1,0.22314355131420976,0.22314355131420976,0,3,1,370
104,105,1,1,2,1,1,1,4,1,31,1,13,1,1,0,12,400,4,4,4,2,6,33,0,0,0,1,0,1,1994,3,0,15179,0,0.2513144282809061,0.2513144282809061,0,4,1,367
105,106,12,3,5,1,12,3,6,1,28,0,12,2,5,0,5,400,1,4,4,0,6,33,0,0,0,1,4,2,1994,2,0,15179,1,0.6190392084062234,0.6190392084062234,0,5,1,366
106,107,8,1,1,1,8,1,4,1,28,0,11,1,1,0,11,400,2,4,4,2,6,33,0,0,0,0,0,1,1994,1,0,15179,1,0.2513144282809061,0.2513144282809061,0,2,1,368
107,108,11,4,7,1,4,2,4,1,44,1,13,1,1,0,11,400,1,4,4,0,6,38,0,0,0,0,0,1,1994,3,0,15179,1,0.2513144282809061,0.2513144282809061,0,1,1,138
108,109,6,1,4,1,10,4,4,1,47,0,13,1,1,0,1,400,1,4,4,1,7,45,0,0,0,0,0,1,1994,3,0,15179,1,0.22314355131420976,0.22314355131420976,0,1,1,506
109,110,3,1,4,1,3,1,5,1,40,0,12,2,1,0,16,400,4,4,4,0,5,38,0,0,0,0,0,1,1994,2,0,15179,1,0.2876820724517809,0.2876820724517809,0,4,1,366
110,111,5,2,2,1,9,1,5,1,23,0,11,1,1,0,4,400,2,4,4,2,4,28,0,0,0,0,0,1,1994,1,0,15179,0,0.33647223662121295,0.33647223662121295,0,2,1,481
111,112,5,2,1,1,5,2,4,1,31,0,13,1,1,0,6,400,3,4,4,2,5,33,0,0,0,0,0,1,1994,3,0,15179,0,0.2876820724517809,0.2876820724517809,0,3,1,368
112,113,11,4,4,1,12,5,4,1,35,1,13,1,1,0,9,400,1,4,4,0,5,33,0,0,0,0,0,1,1994,3,0,15179,1,0.2876820724517809,0.2876820724517809,0,1,1,402
113,114,11,4,4,0,1,2,2,1,56,0,33,3,5,1,10,400,2,4,4,0,7,58,0,0,0,0,0,1,1994,3,0,15179,1,0.5596157879354227,0.5596157879354227,0,10,1,49
114,115,12,4,1,1,1,1,3,1,50,1,11,1,1,0,2,400,3,4,4,1,7,45,0,0,0,5,0,1,1994,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,3,1,16
115,116,12,2,2,1,1,2,3,1,16,1,21,2,5,0,2,400,1,4,4,2,3,19,0,0,0,3,0,1,1994,1,0,15179,0,0.9162907318741551,0.6931471805599453,1,5,1,36
116,117,11,5,2,1,11,5,2,1,32,1,11,1,2,0,12,400,2,4,4,1,6,33,0,1,0,5,0,1,1994,1,0,15179,1,0.35667494393873234,0.35667494393873234,0,4,1,365
117,118,8,2,1,1,8,5,2,1,28,0,12,2,1,0,4,400,3,4,4,2,5,33,0,0,0,3,0,1,1994,2,0,15179,0,0.2876820724517809,0.2876820724517809,0,3,1,387
118,119,11,5,1,1,12,1,3,1,68,0,13,1,1,1,9,400,3,4,4,2,4,70,0,0,0,0,0,1,1994,3,0,15179,0,0.33647223662121295,0.33647223662121295,0,3,1,369
119,120,12,1,5,0,12,3,5,1,18,0,13,1,5,1,7,400,3,4,4,0,0,16,0,0,0,0,0,1,1994,3,0,15179,0,1.9459101490553132,0.6931471805599453,0,15,1,379
120,121,2,1,5,0,3,3,5,1,19,0,13,1,5,0,8,400,3,4,4,0,0,16,0,0,0,0,0,1,1994,3,0,15179,0,1.9459101490553132,0.6931471805599453,0,15,1,409
121,122,10,2,3,0,10,3,1,0,18,1,21,2,5,0,12,400,4,4,4,0,1,23,0,0,0,1,0,1,1994,1,0,15179,1,1.3862943611198906,0.6931471805599453,0,20,1,370
122,123,6,3,1,1,6,3,1,1,30,0,11,1,5,0,2,400,1,4,4,3,5,33,0,0,0,1,0,1,1994,1,0,15179,0,0.6931471805599453,0.6931471805599453,0,5,1,365
123,124,4,4,2,1,4,4,2,1,51,0,11,1,1,0,1,400,4,4,4,3,7,45,0,0,0,0,0,3,1994,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,4,1,365
124,125,2,2,7,1,2,2,1,1,22,1,13,1,2,0,6,400,3,4,4,0,5,28,0,0,0,3,0,1,1994,3,0,15179,0,0.4054651081081644,0.4054651081081644,0,6,1,359
125,126,2,2,6,1,2,2,1,0,26,0,12,2,1,0,16,400,4,4,4,2,6,33,0,0,0,5,0,1,1994,2,0,15179,1,0.2513144282809061,0.2513144282809061,0,4,1,360
126,127,1,4,6,1,3,1,1,1,53,0,11,1,2,0,15,400,2,4,4,0,7,45,1,0,0,0,4,2,1994,1,0,15179,1,0.3184537311185346,0.3184537311185346,0,4,1,399
127,128,1,4,7,1,1,5,2,1,38,0,12,2,2,0,13,400,3,4,4,2,6,38,0,0,0,5,0,1,1994,2,0,15179,1,0.35667494393873234,0.35667494393873234,0,6,1,367
128,129,1,4,7,0,1,4,1,1,27,1,12,2,2,0,9,400,3,4,4,3,5,33,0,1,0,0,0,1,1994,2,0,15179,1,0.4054651081081644,0.4054651081081644,0,6,1,359
129,130,11,4,1,1,11,4,2,1,29,0,11,1,1,0,14,400,3,4,4,2,6,33,0,0,0,3,0,1,1994,1,0,15179,0,0.2513144282809061,0.2513144282809061,0,3,1,366
130,131,7,2,5,1,7,2,5,1,32,0,11,1,1,0,10,400,1,4,4,3,4,33,0,0,0,5,0,1,1994,1,0,15179,0,0.33647223662121295,0.33647223662121295,0,1,1,365
131,132,4,4,4,1,4,4,5,1,18,1,11,1,1,0,14,400,3,4,4,0,2,23,0,0,0,5,0,1,1994,1,0,15179,0,0.5108256237659907,0.5108256237659907,0,3,1,366
132,133,10,3,4,1,10,4,4,1,60,1,11,1,1,0,6,400,4,4,4,2,7,58,0,0,0,1,0,1,1994,1,0,15179,1,0.22314355131420976,0.22314355131420976,0,4,1,372
133,134,10,3,5,1,10,3,5,1,53,0,11,1,5,0,12,400,3,4,4,0,7,45,0,0,0,5,0,1,1994,1,0,15179,1,0.5596157879354227,0.5596157879354227,0,15,1,365
134,135,4,1,2,1,4,2,5,1,29,0,11,1,1,0,16,400,4,4,4,1,5,33,0,0,0,1,0,1,1994,1,0,15179,0,0.2876820724517809,0.2876820724517809,0,4,1,375
