DriverRating,AccidentArea,AgeOfVehicle,Fault,VehicleCategory,UnusualDeductible,WitnessPresent,MonthClaimed,Year,Sex,PolicyType,Deductible,ClaimProcessingTime,WeekOfMonth,RepNumber,Age,NumberOfSuppliments,ClaimAmountRisk,FraudFound_P
2,1,5,0,2,0,0,8,1995,1,12,400,373,4,13,30,0,2,0
2,1,7,0,1,0,0,11,1996,1,13,400,361,2,2,76,5,4,0
2,1,6,0,2,0,0,1,1996,1,12,400,370,2,7,26,0,4,0
3,1,5,0,1,0,0,7,1994,1,13,400,360,4,2,32,0,3,0
1,1,5,0,1,0,0,9,1995,0,11,400,363,2,11,35,0,1,0
4,1,6,0,1,0,0,8,1994,1,13,400,371,2,16,37,1,4,0
2,1,6,0,1,0,0,5,1996,1,11,400,372,2,14,32,3,4,0
1,1,7,0,1,0,0,1,1994,1,11,400,368,2,11,78,5,1,0
4,1,6,0,1,0,0,8,1994,1,11,400,368,1,2,44,0,4,0
4,1,4,0,2,0,0,3,1995,0,12,400,365,2,9,41,3,4,0
3,1,6,1,1,0,0,7,1994,0,13,400,371,2,16,41,5,3,0
1,1,7,0,1,0,0,6,1994,1,13,400,366,2,3,61,5,0,0
4,1,6,0,1,0,0,12,1996,1,11,400,390,4,1,36,0,8,0
2,1,4,1,1,0,0,5,1994,1,11,400,369,3,7,23,5,2,0
3,1,6,0,2,0,0,4,1996,0,12,400,370,4,9,41,0,6,0
1,1,6,0,2,0,0,5,1995,1,12,400,366,3,14,34,0,1,0
4,0,5,0,2,0,0,10,1995,1,12,400,380,3,13,37,5,8,0
4,1,6,0,1,0,0,4,1994,1,11,400,366,4,2,34,5,4,0
1,1,7,0,2,0,0,10,1995,0,12,400,360,5,2,50,1,1,0
1,1,6,0,2,0,0,8,1995,1,12,400,370,1,5,40,1,2,0
2,1,6,0,1,0,0,12,1994,0,11,400,366,5,15,27,3,2,0
3,1,6,1,1,0,0,10,1996,1,13,400,368,2,11,45,1,3,0
2,1,7,1,1,0,0,6,1994,1,11,400,378,2,11,49,0,4,0
3,1,6,0,2,0,0,7,1995,0,12,400,373,3,2,38,0,3,0
4,1,6,0,1,1,0,9,1996,0,11,500,373,4,12,58,5,4,0
1,1,5,1,1,0,0,6,1995,1,11,400,361,1,10,33,3,1,0
2,1,5,0,1,0,0,3,1995,0,11,400,367,1,10,30,1,2,0
1,1,5,0,1,0,0,6,1994,0,11,400,359,1,1,35,0,1,0
1,1,4,1,1,0,0,6,1994,1,13,400,387,3,5,32,0,0,0
3,1,6,1,1,0,0,3,1994,1,13,400,359,2,12,43,0,3,0
1,1,6,0,2,0,0,3,1994,0,12,400,368,1,11,55,0,1,0
2,1,6,0,2,0,0,6,1995,1,12,400,359,4,1,47,0,2,0
4,0,7,0,2,1,0,3,1996,1,12,700,365,3,7,54,5,12,0
1,1,7,0,1,0,0,1,1996,1,13,400,366,3,16,78,0,5,0
3,1,5,0,1,0,0,2,1994,0,11,400,373,2,6,29,5,15,0
4,1,0,0,1,0,0,5,1994,1,13,400,374,1,1,19,0,20,0
3,1,7,0,1,0,0,10,1995,0,11,400,361,3,4,46,3,6,0
4,1,6,0,1,0,0,11,1995,1,11,400,390,4,1,33,0,4,0
4,1,6,0,2,0,0,7,1996,1,12,400,365,2,11,53,1,12,0
4,1,5,0,1,0,0,7,1994,1,13,400,361,2,12,35,5,4,1
2,1,6,1,1,0,0,4,1996,1,11,400,361,4,7,29,1,0,0
2,1,7,0,2,0,0,9,1996,0,12,400,365,3,11,53,5,4,0
1,1,6,0,1,0,0,3,1994,0,13,400,365,4,11,39,0,1,0
1,1,6,0,2,0,0,12,1996,0,12,400,365,2,1,36,0,1,0
3,1,6,0,2,0,0,3,1994,0,23,400,373,4,10,65,3,3,0
1,0,4,0,1,0,0,6,1996,1,13,400,370,4,7,27,1,1,0
3,0,6,0,1,0,0,12,1994,1,11,400,362,2,9,37,1,0,1
2,1,4,1,2,0,0,5,1995,1,12,400,382,2,9,24,3,2,0
1,1,5,1,2,0,0,6,1996,0,12,400,369,1,5,34,0,1,0
1,1,5,0,1,0,0,11,1995,1,11,400,407,4,8,32,0,2,0
2,1,7,1,2,0,0,7,1996,1,21,400,375,1,8,69,0,10,0
3,1,6,0,2,0,0,12,1994,1,12,400,369,5,15,42,3,3,0
3,1,6,0,1,0,0,11,1996,1,13,400,367,1,13,43,0,3,0
3,1,6,1,1,0,0,5,1996,1,11,400,366,3,14,27,1,6,0
1,1,1,0,2,0,0,12,1994,0,12,400,365,2,7,30,1,1,0
3,1,4,0,2,0,0,12,1994,0,12,400,373,4,11,32,0,15,0
4,1,6,1,2,0,0,1,1996,1,12,400,360,5,16,36,5,4,0
4,1,6,1,1,0,0,4,1995,0,11,400,371,3,9,44,0,8,0
2,1,5,1,2,0,0,10,1995,1,12,400,366,1,14,26,5,4,0
1,1,7,1,2,0,0,10,1996,1,12,400,368,1,5,66,0,3,0
4,1,5,0,2,0,0,2,1995,1,12,400,365,4,16,34,0,12,0
1,1,5,0,2,0,0,3,1994,1,12,400,366,1,11,33,3,1,1
4,1,5,0,1,0,0,5,1994,1,11,400,360,3,1,30,3,8,0
4,1,7,0,1,0,0,4,1994,1,13,400,428,4,10,62,0,8,0
2,1,6,0,1,0,0,10,1994,1,11,400,407,2,13,31,0,4,0
3,1,5,1,1,0,0,5,1994,1,13,400,366,2,15,37,1,15,1
3,1,6,0,1,0,0,7,1995,1,11,400,366,1,1,37,5,3,0
2,1,5,1,2,0,0,8,1994,0,12,400,368,3,14,32,3,4,0
2,1,3,0,1,0,0,6,1995,0,13,400,365,2,16,21,5,0,0
4,1,6,0,2,0,0,6,1994,1,12,400,365,2,10,39,3,8,0
1,1,7,1,2,0,0,9,1995,0,12,400,393,4,10,60,0,1,0
2,1,5,0,2,0,0,3,1994,1,12,400,365,2,15,34,1,4,0
1,1,7,0,1,0,0,1,1994,1,11,400,367,2,4,48,5,1,0
3,1,5,1,1,0,0,1,1994,1,13,400,365,2,1,29,5,3,0
3,1,6,0,2,0,0,6,1994,1,12,400,373,3,14,42,3,3,0
1,1,6,0,2,0,0,3,1994,1,12,400,372,4,1,43,1,3,1
1,1,5,0,2,0,0,4,1995,0,12,400,386,1,5,35,5,1,0
1,1,5,0,1,1,0,6,1996,1,13,500,388,2,14,30,0,1,0
4,0,5,0,2,0,0,9,1995,0,12,400,362,4,10,31,3,4,0
1,1,7,0,2,1,0,11,1996,0,12,500,361,3,7,56,0,2,0
4,1,7,1,2,0,0,4,1995,1,21,400,370,4,3,48,0,20,0
2,1,7,1,2,0,0,2,1996,1,12,400,366,4,14,38,5,10,0
4,1,6,0,2,0,0,3,1994,1,12,400,368,1,16,42,1,4,0
2,0,7,0,1,0,0,2,1996,1,13,400,369,1,2,61,0,4,0
1,1,7,1,2,0,0,4,1994,1,12,400,372,2,3,48,0,1,0
2,1,6,1,1,0,0,6,1995,1,11,400,381,4,11,31,3,2,0
1,1,5,0,2,0,0,11,1995,1,12,400,391,5,9,33,1,2,0
1,1,4,0,1,0,0,1,1994,1,11,400,372,2,1,23,0,1,0
2,0,6,0,1,0,0,3,1994,0,11,400,366,4,6,34,1,4,0
3,1,6,0,2,0,0,12,1994,1,12,400,365,1,16,50,3,3,0
4,1,5,0,1,0,0,8,1995,1,13,400,372,4,10,26,0,0,0
3,1,7,0,2,0,0,9,1995,1,12,400,374,4,6,63,3,6,0
4,1,6,1,2,0,0,7,1994,0,21,400,374,1,10,42,0,20,0
4,0,6,1,1,0,0,9,1995,1,13,400,373,1,15,77,0,4,0
1,1,7,0,2,0,0,11,1994,1,21,400,367,4,12,55,0,5,0
3,1,6,0,1,0,0,5,1996,1,13,400,379,2,11,41,3,0,0
3,1,6,0,1,0,0,9,1995,0,13,400,398,5,10,75,5,3,0
2,1,7,0,1,0,0,7,1994,1,13,400,371,1,10,64,5,10,1
4,1,6,1,2,0,0,9,1995,1,12,400,363,3,12,54,0,4,0
2,0,5,1,1,0,0,6,1994,1,13,400,361,5,5,29,0,2,0
3,1,7,1,2,0,0,6,1994,1,21,400,381,4,15,49,3,15,0
3,1,7,0,1,0,0,5,1995,1,13,400,373,2,15,49,0,6,0
1,1,6,0,2,0,0,12,1994,1,12,400,376,2,15,36,0,1,0
4,1,7,0,1,0,0,10,1994,0,13,400,360,2,6,63,1,4,0
4,1,5,1,1,0,0,9,1996,1,13,400,367,4,16,30,1,4,0
3,1,6,0,1,1,0,5,1995,1,11,700,479,4,3,26,5,3,0
2,1,7,0,2,0,0,10,1996,1,12,400,367,4,11,58,5,2,0
4,1,7,0,2,0,0,1,1994,1,12,400,361,3,6,59,0,4,0
1,1,7,0,1,0,0,10,1995,0,11,400,365,3,5,47,5,5,0
2,1,6,0,2,0,0,9,1995,1,12,400,375,2,4,34,1,2,0
1,1,5,0,2,0,0,2,1996,1,12,400,365,4,10,23,5,2,0
4,1,0,0,2,0,0,1,1994,1,12,400,375,1,11,19,0,20,0
2,1,5,0,1,0,0,11,1996,1,11,400,363,5,2,34,0,2,0
2,1,6,0,1,0,0,1,1994,1,11,400,371,3,5,41,1,2,0
1,1,6,0,1,0,0,12,1996,1,11,400,365,1,11,41,0,1,0
2,1,5,0,1,0,0,9,1996,1,11,400,375,2,3,29,0,2,0
3,1,6,1,1,0,0,2,1996,1,11,400,374,2,4,42,0,3,0
3,1,6,0,1,0,0,7,1994,1,11,400,372,3,11,51,3,3,0
3,1,7,0,2,0,0,1,1994,1,12,400,381,3,10,50,5,9,0
1,1,6,0,1,0,0,8,1996,1,11,400,366,2,9,44,5,2,1
1,1,5,1,1,0,0,9,1995,1,11,400,365,2,2,33,5,1,0
2,1,7,0,2,0,0,11,1996,1,12,400,366,4,12,37,0,4,0
3,1,5,0,1,0,0,7,1994,1,11,400,365,3,8,26,1,3,0
2,1,7,0,1,0,0,2,1994,1,13,400,362,4,6,56,0,2,0
2,1,6,1,1,0,0,7,1996,0,11,400,361,4,10,43,0,2,0
2,0,5,1,2,0,0,4,1996,1,21,400,366,2,6,30,5,10,0
3,1,7,0,1,1,0,5,1996,1,11,500,373,2,1,41,0,3,0
4,1,6,0,1,0,0,7,1995,1,13,400,459,4,15,44,1,4,0
2,0,5,0,1,0,0,11,1994,0,11,400,361,3,10,35,0,2,0
3,1,6,0,1,1,0,3,1994,1,11,500,371,3,1,29,1,3,0
3,1,6,1,2,0,0,1,1994,0,12,400,363,4,5,37,1,15,0
3,1,5,0,1,0,0,3,1994,1,11,400,367,1,7,31,0,3,0
3,1,5,0,1,0,0,5,1996,1,11,400,369,2,13,39,1,3,0
4,1,5,0,1,0,0,9,1996,1,11,400,366,1,2,33,3,4,0
1,1,6,0,2,0,0,9,1996,1,12,400,366,3,4,44,5,1,0
1,1,5,0,1,0,0,12,1995,1,11,400,362,2,16,30,5,1,0
4,1,5,0,1,0,0,4,1994,1,11,400,374,2,13,26,0,8,0
1,0,4,1,1,0,0,2,1994,0,13,400,370,4,1,37,3,0,0
4,1,7,0,1,0,0,7,1994,1,13,400,366,2,14,53,0,8,0
2,0,4,0,1,0,0,12,1996,1,11,400,379,2,5,24,0,6,0
2,1,6,0,1,0,0,11,1996,1,11,400,362,5,3,62,1,4,0
4,1,5,0,2,0,0,4,1996,1,12,400,361,4,9,32,0,4,0
2,0,6,0,2,0,0,7,1996,1,12,400,379,1,11,42,5,4,0
3,1,6,1,2,0,0,12,1995,1,12,400,365,3,12,37,0,3,0
2,1,3,1,1,0,0,2,1995,1,11,400,369,1,1,25,0,2,0
3,1,7,0,3,0,0,8,1996,1,33,400,453,2,6,39,1,15,0
4,1,4,0,2,0,0,7,1995,0,12,400,365,4,16,30,5,4,0
1,1,6,0,3,0,0,3,1996,1,32,400,370,3,16,39,0,3,0
2,1,7,0,1,0,0,7,1994,1,13,400,373,4,12,61,0,2,0
1,1,3,0,1,0,0,6,1996,1,11,400,370,2,3,33,5,5,0
3,1,5,0,1,0,0,7,1994,1,11,400,373,3,4,33,5,6,0
3,1,6,0,2,0,0,2,1995,1,12,400,375,4,6,45,5,3,0
4,1,5,0,1,0,0,2,1995,1,11,400,360,3,8,35,5,4,0
1,1,6,0,1,0,0,1,1994,0,11,400,3,5,12,47,0,1,1
3,1,4,1,2,0,0,2,1994,1,21,400,369,4,10,22,3,15,0
3,1,4,1,2,0,0,8,1995,1,12,300,367,2,5,22,0,3,0
1,1,6,0,3,0,0,7,1994,1,33,400,374,2,1,36,1,5,0
2,1,7,1,1,0,0,3,1995,1,13,400,370,3,16,50,5,2,0
3,1,7,0,1,1,0,11,1994,1,13,500,378,1,16,51,0,6,0
1,1,6,1,1,0,0,3,1994,1,13,400,379,2,14,35,0,1,0
3,1,7,0,1,0,0,7,1994,1,13,400,428,2,10,47,0,3,0
1,1,6,1,1,0,0,8,1995,1,11,400,369,4,3,26,5,2,0
1,1,0,0,2,0,0,4,1994,1,12,400,362,4,9,19,0,5,0
1,1,7,0,2,0,0,7,1996,1,21,400,369,2,16,37,5,5,0
3,1,6,0,2,0,0,10,1994,1,12,400,374,2,2,45,3,3,0
1,1,7,1,2,0,0,10,1994,1,12,400,365,5,1,71,0,4,1
4,1,6,0,1,0,0,1,1995,1,13,400,19,4,7,44,1,0,0
2,1,4,0,1,0,0,2,1995,0,11,400,365,2,14,43,5,4,0
3,1,5,0,1,0,0,7,1995,1,11,400,366,3,15,35,1,3,0
2,1,3,0,2,0,0,9,1996,1,12,400,372,3,15,24,5,2,0
1,1,7,0,1,0,0,2,1994,1,11,400,370,5,13,44,0,3,0
1,1,7,0,2,0,0,4,1995,1,12,400,365,3,4,49,3,2,0
4,1,7,0,2,0,0,12,1995,1,12,400,365,3,16,50,5,12,0
4,1,3,0,2,0,0,10,1996,1,12,400,366,2,10,30,0,4,0
3,1,4,0,1,0,1,2,1994,1,11,400,367,4,13,22,1,6,0
1,1,4,1,2,0,0,7,1995,0,21,400,372,2,8,26,5,5,0
2,1,7,1,1,0,0,1,1995,1,11,400,8,4,4,65,5,2,0
1,1,7,0,3,0,0,4,1995,1,33,400,365,5,7,53,0,5,0
3,1,4,0,1,0,0,9,1996,1,11,400,365,2,6,24,5,3,0
3,1,6,1,1,1,0,8,1994,1,11,700,366,1,13,42,5,3,0
1,1,5,0,1,0,0,10,1996,1,13,400,371,3,4,30,5,0,0
4,1,5,0,1,0,0,8,1994,1,11,400,369,5,14,28,5,0,0
3,1,6,1,1,0,0,10,1996,1,13,400,368,4,4,35,3,3,0
3,1,7,0,2,0,0,9,1995,1,12,400,410,3,12,45,5,6,0
1,1,6,1,1,0,0,10,1994,1,13,400,371,3,12,49,1,5,0
1,1,5,0,1,0,0,8,1995,1,13,400,382,1,11,40,5,1,0
3,1,5,0,2,0,0,1,1995,0,12,400,369,1,14,33,5,6,0
4,1,6,0,1,0,0,5,1994,1,11,400,363,5,9,43,0,4,0
2,1,5,0,1,0,0,1,1994,1,11,400,361,5,2,33,0,2,0
1,1,7,1,1,0,0,4,1994,1,13,400,374,1,2,37,0,1,0
3,0,7,0,1,0,0,11,1995,1,11,400,359,5,12,47,1,3,0
1,1,6,0,2,0,0,8,1994,1,12,400,375,4,14,38,3,1,0
3,1,5,0,2,0,0,9,1996,0,12,400,375,3,5,50,0,6,0
2,1,7,0,3,0,0,8,1996,1,33,400,373,1,6,69,5,10,0
1,1,6,0,1,0,0,3,1994,0,11,400,365,5,2,48,1,2,0
3,1,5,0,3,0,0,9,1994,1,33,400,375,3,13,43,1,15,0
4,1,5,0,1,0,0,7,1995,1,11,400,365,3,9,32,0,4,0
1,1,6,0,2,0,0,11,1995,1,12,400,373,4,10,49,3,3,1
2,1,5,0,1,1,0,7,1994,1,11,500,365,3,6,29,5,2,0
4,1,7,0,1,0,0,12,1994,1,11,400,374,3,8,66,5,4,0
2,1,7,0,2,0,0,2,1994,1,12,400,370,3,10,65,0,4,0
1,1,4,0,1,0,0,1,1994,1,13,400,360,3,4,22,0,0,0
2,1,6,1,1,0,0,1,1994,1,11,400,375,4,1,38,3,10,0
2,1,7,0,1,0,0,1,1994,1,11,400,361,2,3,59,1,2,0
4,1,5,0,1,0,0,6,1995,1,13,400,475,4,6,28,0,4,0
2,1,7,0,3,0,0,4,1994,1,32,400,396,4,11,77,5,10,0
2,1,6,0,1,0,0,3,1996,1,11,400,386,2,1,42,5,2,0
1,1,5,1,1,0,0,2,1995,1,11,400,370,3,1,29,0,1,0
4,1,5,0,1,0,0,7,1996,1,11,400,366,1,6,36,0,20,0
1,1,5,0,2,0,0,9,1994,1,12,400,359,4,15,30,0,1,0
4,1,5,0,1,0,0,11,1996,1,11,400,370,2,1,35,5,4,0
4,1,5,0,1,0,0,3,1994,1,13,400,401,1,15,29,0,4,0
4,1,5,0,1,0,0,10,1996,1,13,400,360,3,14,26,0,0,0
2,1,7,0,2,0,0,12,1994,1,12,400,361,3,8,66,0,2,0
3,1,5,0,2,0,0,5,1996,1,12,400,367,4,7,38,0,6,0
3,1,6,1,1,0,0,10,1994,1,13,400,360,2,6,51,0,15,0
2,1,6,1,1,0,0,5,1996,1,11,400,363,5,5,52,0,2,1
2,1,5,0,2,0,0,10,1994,1,12,400,365,4,16,28,1,2,0
4,1,6,1,1,0,0,11,1994,1,11,400,360,4,16,43,0,20,0
1,1,6,0,2,0,0,2,1996,1,12,400,366,3,9,26,0,2,0
1,1,5,1,1,0,0,8,1996,1,13,400,375,4,1,36,1,2,0
2,1,6,0,1,1,0,3,1995,1,11,500,381,4,8,36,1,4,0
1,0,6,1,1,0,0,11,1995,1,11,400,365,2,5,54,5,2,0
1,1,6,0,2,0,0,4,1995,1,12,400,362,4,10,31,5,1,0
3,1,4,1,1,0,0,8,1994,1,13,400,375,4,1,35,0,0,0
3,1,7,0,1,1,0,11,1995,1,13,500,366,2,1,50,3,6,0
3,1,6,0,1,0,0,1,1994,0,11,400,372,2,9,44,5,6,0
3,1,6,0,2,0,0,1,1995,1,12,400,386,2,5,40,0,3,0
2,1,6,0,1,0,0,1,1996,1,13,400,372,2,6,45,0,0,0
4,1,5,0,1,1,0,11,1995,1,11,500,367,2,1,33,0,4,0
2,1,6,0,2,0,0,5,1995,1,12,400,368,2,7,36,5,2,0
3,1,6,0,1,1,0,4,1994,1,13,700,372,2,6,65,5,0,0
1,1,6,1,2,1,0,12,1995,1,12,700,361,4,2,56,0,2,0
4,1,6,0,1,0,0,10,1995,1,11,400,378,3,11,42,0,4,0
3,1,5,0,1,0,0,2,1996,1,13,400,370,3,9,26,1,3,0
1,1,5,1,1,0,0,7,1996,1,11,400,365,5,1,29,3,1,0
2,1,5,1,1,0,0,11,1994,0,13,400,371,2,13,45,1,2,0
4,0,7,0,1,0,0,11,1995,1,13,400,607,1,2,51,5,20,0
1,1,5,0,1,0,0,10,1994,1,11,400,367,4,5,30,0,1,0
3,1,5,0,2,0,0,2,1994,0,12,400,368,5,16,26,5,3,0
4,1,7,1,1,0,0,6,1996,1,13,400,381,3,9,52,5,4,0
2,1,1,0,1,0,0,12,1996,1,11,400,370,2,2,18,1,2,0
2,0,6,0,1,0,0,11,1995,0,11,400,371,1,2,27,3,2,0
3,1,6,0,1,0,0,1,1996,1,13,400,373,3,16,31,5,15,0
3,1,7,0,2,0,0,12,1994,1,12,400,370,5,15,39,0,6,0
2,1,6,0,2,0,0,9,1995,1,12,400,377,3,3,44,5,2,0
2,1,5,0,1,0,0,7,1996,1,11,400,360,3,1,35,3,2,0
3,0,5,0,1,0,0,4,1995,1,11,400,375,2,12,27,1,3,0
1,1,5,0,2,0,0,4,1996,1,12,400,364,3,11,27,5,1,0
2,1,6,0,1,0,0,6,1995,1,11,400,386,3,15,44,0,2,0
1,1,4,0,1,0,0,8,1996,1,11,400,365,4,10,34,3,2,0
3,1,5,0,3,0,0,11,1994,1,33,400,370,3,12,35,5,9,0
3,1,5,0,1,0,0,5,1996,1,11,400,367,2,12,33,1,6,1
1,1,6,0,1,0,0,4,1994,1,11,400,381,5,1,26,3,1,0
3,1,0,0,2,0,0,7,1995,1,23,400,212,4,16,19,0,15,0
4,1,2,0,1,0,0,6,1995,1,11,400,375,4,5,55,1,0,0
2,1,4,0,1,0,0,3,1996,1,11,400,443,1,15,37,3,2,0
1,1,6,0,2,0,0,6,1994,1,12,400,375,3,9,26,3,1,0
4,1,3,0,1,0,0,1,1994,1,11,400,10,5,9,19,5,4,0
